"player_id","full_name","team","positions","current_price","breakeven","current_season_average","average_3_round","average_5_round","total_points","games_played","ownership_percentage","played_status","status","injury_detail","expected_return","role_tag","goal_kicking_status","starting_status","locked_flag","active_flag"
553,"*** Pua'avase, D'Jazirhae","MNL",NA,201400,NA,0,NA,NA,0,5,NA,"pre","inactive",NA,NA,NA,NA,NA,FALSE,FALSE
31,"Alatini, Sosaia","BUL","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
486,"Andrews, Javon","WST","5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
242,"Barber, Mason","NQC","FLB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
454,"Bassingthwaighte, Rex","SYD","FLB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
68,"Black, Coby","CBR","HFB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
488,"Broederlow, Lachlan","WST","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
3,"Bukowski, Cameron","BRO","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
128,"Christensen, Adam","GCT","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
282,"Cleary, Jett","NZL","HFB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
70,"Clydsdale, Jake","CBR","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
539,"Conn, Preston","MEL","2RF",201400,NA,1.4,NA,NA,7,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
490,"Craig, Will","WST","CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
214,"Crouch, Lachlan","NEW","FRF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
